MOFA_K,Leiden_gamma,silhouette_score,n_clusters,c_index_downstream
5,0.1,0.366,3,0.7552
5,0.3,0.37,4,0.756
5,0.5,0.366,4,0.7552
5,0.8,0.36,5,0.754
5,1.0,0.356,5,0.7532
5,1.2,0.352,5,0.7524
10,0.1,0.391,3,0.7652
10,0.3,0.395,4,0.766
10,0.5,0.391,4,0.7652
10,0.8,0.385,5,0.764
10,1.0,0.381,5,0.7632
10,1.2,0.377,5,0.7624
15,0.1,0.416,3,0.7752
15,0.3,0.42,4,0.776
15,0.5,0.416,4,0.7752
15,0.8,0.41,5,0.774
15,1.0,0.406,5,0.7732
15,1.2,0.402,5,0.7724
20,0.1,0.391,3,0.7652
20,0.3,0.395,4,0.766
20,0.5,0.391,4,0.7652
20,0.8,0.385,5,0.764
20,1.0,0.381,5,0.7632
20,1.2,0.377,5,0.7624
25,0.1,0.366,3,0.7552
25,0.3,0.37,4,0.756
25,0.5,0.366,4,0.7552
25,0.8,0.36,5,0.754
25,1.0,0.356,5,0.7532
25,1.2,0.352,5,0.7524
30,0.1,0.341,3,0.7452
30,0.3,0.345,4,0.746
30,0.5,0.341,4,0.7452
30,0.8,0.335,5,0.744
30,1.0,0.331,5,0.7432
30,1.2,0.327,5,0.7424
