method,treatment,n_treated,n_control,ate_days,ate_lb,ate_ub,significant
CausalForestDML,stage,1804,5064,-235.09,-364.11,-106.07,YES
AIPW_ForestDR,stage,1804,5064,-224.43,-350.35,-98.52,YES
VirtualTwins_CoxFallback,stage,1804,5064,0.53,0.51,0.55,YES
IPW_PropensityScore,stage,1804,5064,-99.65,-129.4,-69.9,YES
CausalForestDML,subtype,645,2229,183.78,-0.23,367.79,NO
AIPW_ForestDR,subtype,645,2229,210.29,112.31,308.28,YES
VirtualTwins_CoxFallback,subtype,645,2229,-1.15,-1.28,-1.03,YES
IPW_PropensityScore,subtype,645,2229,198.29,150.05,246.53,YES
CausalForestDML,mutation,2577,4390,-16.13,-148.62,116.36,NO
AIPW_ForestDR,mutation,2577,4390,-34.44,-139.43,70.56,NO
VirtualTwins_CoxFallback,mutation,2577,4390,1.05,1.02,1.08,YES
IPW_PropensityScore,mutation,2577,4390,8.5,-18.94,35.94,NO
