cancer_type,treatment,n_total,n_treated,n_control,ate_days,ate_se,ate_lb,ate_ub
BRCA,mutation,735,241,494,50.51,46.1287,-39.9,140.92
HNSC,mutation,461,326,135,-61.47,55.4412,-170.14,47.19
PRAD,mutation,459,53,406,144.7,73.6716,0.31,289.1
LUAD,mutation,452,226,226,-41.03,49.1189,-137.3,55.24
LGG,mutation,443,216,227,167.64,49.9716,69.69,265.58
LUSC,mutation,380,322,58,206.16,82.5155,44.43,367.89
BLCA,mutation,369,177,192,96.15,57.312,-16.18,208.48
STAD,mutation,347,171,176,-51.43,48.1921,-145.88,43.03
LIHC,mutation,294,89,205,-73.01,68.8243,-207.91,61.88
COAD,mutation,244,147,97,148.72,72.593,6.44,291.0
SARC,mutation,221,79,142,-18.71,80.4335,-176.36,138.94
PAAD,mutation,157,97,60,-127.84,71.6957,-268.37,12.68
UCEC,mutation,138,71,67,46.15,79.3206,-109.32,201.61
