cancer_type,treatment,n_total,n_treated,n_control,ate_days,ate_se,ate_lb,ate_ub
BRCA,stage,728,164,564,-123.07,51.678,-224.35,-21.78
THCA,stage,466,151,315,-92.61,51.7659,-194.07,8.85
HNSC,stage,457,308,149,-40.12,55.1647,-148.25,68.0
LUAD,stage,447,93,354,-174.6,55.9349,-284.24,-64.97
LUSC,stage,376,72,304,-71.14,78.9018,-225.79,83.51
BLCA,stage,369,245,124,-103.62,60.848,-222.88,15.64
STAD,stage,339,175,164,-40.69,47.6147,-134.02,52.63
KIRC,stage,317,118,199,-28.96,69.5311,-165.24,107.32
LIHC,stage,292,69,223,-175.28,71.678,-315.76,-34.79
KIRP,stage,253,56,197,-121.24,83.3021,-284.51,42.03
COAD,stage,239,103,136,-91.27,69.2304,-226.96,44.42
ESCA,stage,156,54,102,-141.31,61.7873,-262.41,-20.2
