,MAD,cox_pval_adj,elasticnet_coef
hsa-let-7a-2-3p,0.28409540644114195,1.0,
hsa-let-7a-3p,0.53217862909724,0.008979145182964913,0.0
hsa-let-7a-5p,0.6012470211037154,3.29675486909764e-09,0.0
hsa-let-7b-3p,0.5626774235508827,3.997562274491048e-05,-0.0836164122387225
hsa-let-7b-5p,0.601730689004694,2.879080005259636e-07,0.0
hsa-let-7c-3p,0.3157686951816812,1.8782608695652174e-299,0.0028311732924232403
hsa-let-7c-5p,0.6566455189032423,1.9636363636363636e-299,0.0
hsa-let-7d-3p,0.5500757719062955,2.902215836883762e-07,0.0
hsa-let-7d-5p,0.5789461651057499,7.050478354987998e-10,0.053174315865276434
hsa-let-7e-3p,0.4935999426121249,2.2952573581964194e-07,0.1307581314454936
hsa-let-7e-5p,0.6003307581023073,1.4583651933134313e-09,0.1956394488295042
hsa-let-7f-1-3p,0.31234900762323403,0.013741927559170761,0.0374103177310441
hsa-let-7f-5p,0.5993088871162205,1.0474047395637053e-08,0.0
hsa-let-7g-3p,0.543112706583347,1.6277888128322296e-13,-0.013786132782654364
hsa-let-7g-5p,0.6092402042489513,1.8785914000866744e-11,0.0
hsa-let-7i-3p,0.5937321265231783,0.7509634509220593,
hsa-let-7i-5p,0.6038564959384528,2.533997783369641e-07,0.0
hsa-miR-1,0.43917921299891827,0.8668258347088902,
hsa-miR-100-5p,0.6506853311412579,9.178072701843121e-08,0.29957306847774146
hsa-miR-101-3p,0.617379608178186,2.273684210526316e-299,-0.31400103030811033
hsa-miR-101-5p,0.4814653873729253,2.4e-299,0.025123826184214982
hsa-miR-103a-2-5p,0.17795449623790704,0.06298724850198446,
hsa-miR-103a-3p,0.585106249694501,2.352293167524005e-07,0.0
hsa-miR-106a-5p,0.6209645812632366,2.5618762033570527e-05,-0.04797888240996786
hsa-miR-106b-3p,0.5710061853554577,0.271280791676126,
hsa-miR-106b-5p,0.5936271547102496,0.010446458049656602,0.0
hsa-miR-107,0.6023932649658946,0.00020713567889791605,0.011101725597854677
hsa-miR-10a-5p,0.5144127840555127,0.2831913756421653,
hsa-miR-10b-3p,0.16725734764069192,4.013980706049169e-07,-0.022022378120991178
hsa-miR-10b-5p,0.5746690367008143,5.57295923694515e-10,0.0
hsa-miR-1180-3p,0.6256112607801398,0.01926865915794908,0.0
hsa-miR-1226-3p,0.17517449384264028,0.08330286956836326,
hsa-miR-1247-3p,0.1767392222421577,0.03734754383694176,0.024553039278996353
hsa-miR-1247-5p,0.17786061028439404,0.03418653551337747,0.0
hsa-miR-1249,0.19802612249499657,1.0,
hsa-miR-125a-3p,0.27919782511484204,0.007433783695653698,0.0010294347879708178
hsa-miR-125a-5p,0.6713196837942763,2.16e-299,-0.644295320572398
hsa-miR-125b-2-3p,0.373019345552612,2.057142857142857e-299,0.0
hsa-miR-125b-5p,0.6423816043581257,1.8e-299,-0.044140099161877104
hsa-miR-126-3p,0.6048017641146934,8.952838470577262e-14,-0.18184539021077836
hsa-miR-126-5p,0.5632734737494656,1.2427612716692238e-08,0.0
hsa-miR-1262,0.17324947524873746,0.041439892042506504,0.04266764763255839
hsa-miR-1266-5p,0.371293443406704,0.9026406825042516,
hsa-miR-127-3p,0.5819183466073828,1.0,
hsa-miR-127-5p,0.4711487282700048,0.40756676393488406,
hsa-miR-1271-5p,0.331168629076373,0.5227778644412894,
hsa-miR-1277-3p,0.17514602247568467,1.0,
hsa-miR-128-1-5p,0.517188652823976,0.0032631446949631005,-0.05194732356207924
hsa-miR-128-3p,0.5690483758929586,2.1418172378519427e-09,-0.09792291122406598
hsa-miR-1287-3p,0.31818336027403027,2.0298549682082942e-06,0.013123738337045299
hsa-miR-1287-5p,0.5440840980159718,0.0004376770887436695,-0.0712258491344012
hsa-miR-129-5p,0.21853209285805186,0.8285727512635538,
hsa-miR-1296-5p,0.4301871695977495,0.021034774037942752,0.0
hsa-miR-1301-3p,0.6063461282972422,0.19818463250071297,
hsa-miR-1306-3p,0.1613343131114079,0.004941221402598736,0.0
hsa-miR-1306-5p,0.5193988161317734,0.043343723122879395,-0.07481372252526905
hsa-miR-1307-3p,0.5429101338640812,0.030305744259331323,0.09979686345161631
hsa-miR-1307-5p,0.6013001072996805,0.00036433049160753333,-0.05936824938235009
hsa-miR-130a-3p,0.6766153894607636,7.683357810331306e-05,0.015294961684795983
hsa-miR-130b-3p,0.5790304794338803,2.5411764705882355e-299,0.1304622294123688
hsa-miR-130b-5p,0.5718741441141642,8.247885408152467e-05,0.015370250283701488
hsa-miR-132-3p,0.6240465075975329,0.001712071646147984,0.1115064634471397
hsa-miR-132-5p,0.33305394430311885,0.9381670286976629,
hsa-miR-133a-3p,0.34590173999878926,0.6176558367337737,
hsa-miR-134-5p,0.5185537410224756,1.0,
hsa-miR-135b-5p,0.16171236612823164,6.268897909057672e-06,0.12794332280081322
hsa-miR-136-3p,0.16155027725844545,0.2539068282535251,
hsa-miR-136-5p,0.3109806044146526,1.0,
hsa-miR-139-3p,0.48915145623322703,2.90584209743027e-07,-0.03301822035737185
hsa-miR-139-5p,0.6873751126499021,1.4435282237838425e-12,0.09585666356244543
hsa-miR-140-3p,0.6121300068652143,2.1797018427482187e-10,0.0
hsa-miR-140-5p,0.5757985527967829,9.592326932761353e-14,-0.020944885072593317
hsa-miR-141-3p,0.19704988392664755,0.42131470988975167,
hsa-miR-141-5p,0.09646538981939129,0.3341288802846216,
hsa-miR-142-3p,0.5442667641435559,0.0037829638740527758,0.0
hsa-miR-142-5p,0.47935564606813974,0.057933406335072664,
hsa-miR-143-3p,0.5784375694581054,0.0003517918947411198,0.0
hsa-miR-143-5p,0.4577744375611613,0.6581684228808694,
hsa-miR-144-3p,0.27694620960748173,1.0,
hsa-miR-144-5p,0.6157127368681234,0.0008575839893936539,-0.10393164292523947
hsa-miR-145-3p,0.4546703821702136,0.19872804688689674,
hsa-miR-145-5p,0.5463794411111048,0.00022529125423923605,-0.05830582956528817
hsa-miR-1468-5p,0.5219632710430658,8.64e-299,-0.024671059058466557
hsa-miR-146a-5p,0.559064438552724,1.0,
hsa-miR-146b-3p,0.5650640104440736,0.769626641505207,
hsa-miR-146b-5p,0.6188147350354789,0.4091701505983144,
hsa-miR-148a-3p,0.6016106859139783,3.4449195064135473e-07,0.0
hsa-miR-148a-5p,0.2451827042903267,0.00102188365669279,0.0
hsa-miR-148b-3p,0.6368275213071177,9.90175683381817e-14,-0.0007939706810743947
hsa-miR-148b-5p,0.30576399068434185,0.33602794556112947,
hsa-miR-149-5p,0.583506149959893,0.7565271693897886,
hsa-miR-150-5p,0.6266824794247756,0.00038572641022164764,-0.054724630508586794
hsa-miR-151a-3p,0.6015594489549002,1.7923846528180955e-05,0.0
hsa-miR-151a-5p,0.6260072257654274,1.8054174951437272e-05,0.0
hsa-miR-151b,0.25961959124005457,4.994404889657744e-12,0.017608354768564347
hsa-miR-152-3p,0.5798561743950805,7.387841778848213e-05,-0.08796546593500632
hsa-miR-153-3p,0.2380356038827651,0.0506923979730432,
hsa-miR-153-5p,0.4389647873347025,0.0003582814167701399,0.0
hsa-miR-154-5p,0.13160216320672974,0.30536717479192177,
hsa-miR-155-5p,0.5197468023022054,0.4407113508937445,
hsa-miR-15a-5p,0.6224623246653556,4.607450421190151e-09,-0.1819405294122198
hsa-miR-15b-3p,0.5088351324188276,8.872781065838162e-07,0.09559772992448164
hsa-miR-15b-5p,0.5886439848806232,0.05091100964785615,
hsa-miR-16-1-3p,0.40486954640879935,1.0,
hsa-miR-16-2-3p,0.43851878517132803,5.986567376562621e-07,0.08581367128203
hsa-miR-16-5p,0.5868178645769604,1.662234487984561e-10,-0.04413034040487661
hsa-miR-17-3p,0.6236882615382554,0.014142294906110646,-0.09093240191782324
hsa-miR-17-5p,0.6332048832298065,0.17473183477879956,
hsa-miR-181a-2-3p,0.5990293618026722,9.015292582024932e-08,0.0
hsa-miR-181a-3p,0.6073945564536469,0.0013540890977896416,0.0
hsa-miR-181a-5p,0.6115935852576304,1.239293506370748e-08,0.0
hsa-miR-181b-3p,0.4453571097050566,1.0,
hsa-miR-181b-5p,0.6258341618903003,0.0015074512440437888,0.12025629862196541
hsa-miR-181c-3p,0.6301392453556516,2.2245062934546564e-12,-0.031769883898337306
hsa-miR-181c-5p,0.6646779261718906,3.9272727272727273e-299,-0.20112970810860825
hsa-miR-181d-5p,0.5821283029871636,8.004142803098479e-10,0.0
hsa-miR-182-5p,0.5988560177355619,4.0493035749056535e-06,-0.08133183883525383
hsa-miR-183-5p,0.6001110742435639,0.002617016516471754,0.0
hsa-miR-185-3p,0.37754032694184125,0.4626658426699945,
hsa-miR-185-5p,0.5722162340109255,0.02757408581719921,0.0
hsa-miR-186-5p,0.6027626072527302,2.455801421419324e-07,0.05774464639978629
hsa-miR-187-3p,0.20449324669308622,0.4055463036874421,
hsa-miR-188-5p,0.2016087921714877,0.0005181009519725344,0.00010045027434386378
hsa-miR-18a-3p,0.2132608847895915,4.32e-299,0.0
hsa-miR-18a-5p,0.5677994913204286,3.6e-299,0.09708493727787454
hsa-miR-190a-5p,0.3753481562967582,2.950076546684696e-11,0.0
hsa-miR-191-3p,0.1883588185696068,0.1677611718405181,
hsa-miR-191-5p,0.6125144054449607,7.276937673129302e-14,-0.05086377925371664
hsa-miR-192-3p,0.25981286229461137,0.050050943893798924,
hsa-miR-192-5p,0.6683238525725205,0.28682564185031456,
hsa-miR-193a-3p,0.36822609147791074,0.0445655031066289,0.07753320332827816
hsa-miR-193a-5p,0.6367934119087594,0.040770960265318776,0.0
hsa-miR-193b-3p,0.5918931313294138,0.0007136782433482499,0.05814642749359086
hsa-miR-193b-5p,0.39075321104799865,8.298842840955908e-06,0.011061794628446496
hsa-miR-194-3p,0.263813807272744,0.03565069397662815,0.0
hsa-miR-194-5p,0.683290590293954,0.27861702368837143,
hsa-miR-195-3p,0.31604416599058927,1.926584433040022e-07,0.002583534936253948
hsa-miR-195-5p,0.5849654078394954,2.86578977968804e-07,0.012201496015059222
hsa-miR-196a-5p,0.14426489303205114,0.125078073461286,
hsa-miR-196b-5p,0.36523370682291734,0.6204766002575859,
hsa-miR-197-3p,0.5637166364895134,0.00014295451014598404,0.16543751345839952
hsa-miR-1976,0.5168700502773691,0.844961224034178,
hsa-miR-199a-3p,0.47193895807661823,1.0,
hsa-miR-199a-5p,0.47771562383068433,0.8218627433985444,
hsa-miR-199b-3p,0.4710967934447672,1.0,
hsa-miR-199b-5p,0.22241092212762414,0.018163743669988686,0.0
hsa-miR-19a-3p,0.5830659142025716,0.17414684135702696,
hsa-miR-19b-1-5p,0.5113084079388159,1.0,
hsa-miR-19b-3p,0.6092654820758961,0.006918453922886404,0.0
hsa-miR-200a-3p,0.18708574108233517,0.3257926845135097,
hsa-miR-200a-5p,0.1986748358366458,0.9884269478827457,
hsa-miR-200b-3p,0.2428829476127941,0.28668289005871456,
hsa-miR-200b-5p,0.08067783882817753,1.0,
hsa-miR-200c-3p,0.4456629720946007,0.33518592231645433,
hsa-miR-203a,0.5500376732958995,0.08242046802910027,
hsa-miR-203b-3p,0.12225603779625355,1.670970759577854e-06,-0.0050418990347071355
hsa-miR-204-5p,0.20483492243110324,2.9247680333970543e-09,0.04996265860205814
hsa-miR-205-5p,0.1214330635983702,1.0,
hsa-miR-20a-3p,0.5004518842693343,1.0,
hsa-miR-20a-5p,0.6452078463333036,0.08303208287191194,
hsa-miR-20b-5p,0.5668049196570638,1.3211431948434438e-11,0.0
hsa-miR-21-3p,0.49375712923694004,0.10166835073180021,
hsa-miR-21-5p,0.5806033962002559,0.02554880105963662,0.5309589828983761
hsa-miR-210-3p,0.5823584625908033,3.8281434414263407e-05,0.1696281905051062
hsa-miR-2110,0.1647697452811639,1.0,
hsa-miR-212-3p,0.42156916875247363,3.460016646478103e-05,0.026663444120872383
hsa-miR-214-3p,0.12656053904391668,1.2411092153996606e-08,-0.022044595114100483
hsa-miR-214-5p,0.1450871962833825,4.357900530184043e-05,-0.03382510194760186
hsa-miR-215-5p,0.40320193914377755,1.935985352763403e-05,0.08310733524552638
hsa-miR-217,0.4327636767596909,0.0528652949334538,
hsa-miR-218-5p,0.5913468061811972,4.879006289890888e-12,0.0
hsa-miR-219a-1-3p,0.26916954158747164,0.5570466281472176,
hsa-miR-22-3p,0.5730416933104348,7.646070853385166e-07,0.0
hsa-miR-22-5p,0.530586194289705,0.06535040569053015,
hsa-miR-221-3p,0.6250706957922203,1.0,
hsa-miR-221-5p,0.2338589560437433,0.3349132291804266,
hsa-miR-222-3p,0.503352240846867,0.5124812746667535,
hsa-miR-222-5p,0.34825634415838247,0.0005149446477526778,0.02885630299971214
hsa-miR-223-3p,0.6197763615234418,2.7286045252938516e-06,0.0014654077517041878
hsa-miR-223-5p,0.1920383580463001,8.282677701593481e-09,0.014146407016338203
hsa-miR-224-3p,0.17785632919877314,0.04073270100038376,-0.042059860369478654
hsa-miR-224-5p,0.35366048885441576,2.934123532374061e-13,0.0
hsa-miR-2355-3p,0.313139510099744,4.8e-299,-0.03729370552396731
hsa-miR-2355-5p,0.5118818002159318,1.0,
hsa-miR-23a-3p,0.5467493997185305,0.00013616626221807506,0.0
hsa-miR-23a-5p,0.18121260583034632,0.000658497016270046,0.0
hsa-miR-23b-3p,0.5930357386331874,1.9326591810199046e-06,0.11344189121508043
hsa-miR-24-1-5p,0.5857950680414028,0.1460545075124929,
hsa-miR-24-2-5p,0.4903990210403627,1.4263533716710084e-05,0.0
